RY,ToU,U,ORoRS,ORoCIS,ORoSR,ORoAOS,ASforR,ASforCI,ASforSR,ASforAO,ANoCR,ANoCCI,ANoCSR,ANoCAO
2015,Municipal Electric,Hinton,417759,626086,0,52927,4278.45,5231.12,0,484.82,308,63,0,2
2015,Municipal Electric,Hopkinton,330536,196619,0,61920,2455.85,1416.18,0,592.04,319,43,0,12
2015,Municipal Electric,Hudson,888599,406779,0,275586,7016.23,3362.16,0,2477.67,793,115,0,24
2015,Municipal Electric,Independence,3143153,5084172,0,347517,20061.28,51618.66,0,3136.93,2710,457,0,2
2015,Municipal Electric,Indianola,5438688,5512539,0,890561,51101.79,62211.87,0,9535.57,5649,652,0,26
2015,Municipal Electric,Keosauqua,532945,647181,0,292733,4281.98,6159.41,0,2897.26,494,111,0,28
2015,Municipal Electric,Kimballton,136931,54206,0,12460,1679.91,416.7,0,272.18,166,44,0,8
2015,Municipal Electric,Lake Mills,1124952,1736648,0,193388,8420.13,14838.49,0,2062.13,1070,178,0,2
2015,Municipal Electric,Lake View,1206924,623201,0,57142,12397.25,6889.87,0,1379.04,1152,188,0,48
2015,Municipal Electric,La Porte City,1017080,613527,0,37104,9017.23,5965.93,0,468.09,1001,165,0,15
2015,Municipal Electric,Larchwood,444275,337249,0,12938,4705.78,2819.1,0,134.09,392,66,0,9
2015,Municipal Electric,Laurens,870665,1136165,1134979,70409,10558.23,14050.3,22841.57,1585.64,675,135,2,28
2015,Municipal Electric,Lehigh,218449,21040,0,0,1726.94,245.13,0,0,235,26,0,0
2015,Municipal Electric,Livermore,214829,86937,0,27432,1844.95,504.39,0,208.14,185,30,0,9
2015,Municipal Electric,Long Grove,325790,13483,0,21777,2603.91,99.4,0,160.79,211,9,0,6
2015,Municipal Electric,Mapleton,691149,577504,0,89489,6656.24,5668.24,0,1043.1,584,147,0,271
2015,Municipal Electric,Maquoketa,2986477,5376088,0,303166,22662.75,45341.81,0,2624.25,2822,624,0,58
2015,Municipal Electric,Marathon,180853,105400,0,40695,1298,643.03,0,233.76,148,49,0,14
2015,Municipal Electric,McGregor,375235,363299,0,81207,3163.46,3019.33,0,732.71,491,116,0,32
2015,Municipal Electric,Milford,1418298,1551164,175310,142821,13654.1,16475.46,6933.94,1366.97,1211,336,0,34
2015,Municipal Electric,Mount Pleasant,3321984,5054240,1758,0,25550.37,44070.24,61.87,0,3206,826,1,0
2015,Municipal Electric,Muscatine,10557651,40961516,0,1488482,100834.06,716391.46,0,23479.98,9796,1494,0,57
2015,Municipal Electric,Neola,398425,120787,0,184,3864.18,1154.36,0,0.41,384,53,0,10
2015,Municipal Electric,New Hampton,1210859,3044163,0,176115,13719.43,38771.25,0,2345.08,1685,298,0,508
2015,Municipal Electric,New London,1154756,377626,0,203283,9010.42,3096.74,0,1647.95,1072,98,0,27
2015,Municipal Electric,Ogden,1065309,485492,481,91742,7922.07,2786.72,24,1964.59,963,162,0,31
2015,Municipal Electric,Onawa,1401956,1288783,0,105678,15422.46,14742.6,0,1178.29,1313,233,0,2
2015,Municipal Electric,Orange City ,2186717,5387204,0,12144,22284.55,60435.18,0,138.48,1933,379,0,0
2015,Municipal Electric,Orient  ,298337,0,0,0,2483.83,0,0,0,217,0,0,0
2015,Municipal Electric,Panora  ,548849,555003,0,203496,4736.18,5038.21,0,2899.39,546,143,0,27
2015,Municipal Electric,Paton,131581,26950,0,0,1798.63,368.39,0,0,118,24,0,0
2015,Municipal Electric,Paullina   ,591808,488811,0,56380,4738.17,4607.15,0,505.85,535,108,0,23
2015,Municipal Electric,Pella,4281478,12258372,0,364987,36607.31,145613.31,0,3337.9,4117,775,0,66
2015,Municipal Electric,Pocahontas ,913227,775068,0,265430,9017.68,8270.06,0,3377.42,931,186,0,16
2015,Municipal Electric,Primghar ,482305,360712,0,0,4460.6,4137.29,0,0,425,133,0,0
2015,Municipal Electric,Readlyn  ,409740,218246,0,0,3341,1802.08,0,0,343,32,0,0
2015,Municipal Electric,Renwick  ,183304,329410,0,4186,1443.51,2633.29,0,39.05,150,21,0,4
2015,Municipal Electric,Rockford  ,469581,166869,0,231607,2897.93,1099.79,0,1897.12,525,68,0,10
2015,Municipal Electric,Sergeant Bluff,1464134,1201426,0,0,16458.64,15977.64,0,0,1493,165,0,0
2015,Municipal Electric,Shelby  ,648563,0,0,0,6168.4,1417.94,0,53.21,285,61,0,2
2015,Municipal Electric,Sibley  ,1227404,1299720,137594,312968,14728.32,16353.09,2584.8,4156.56,1458,226,1,28
2015,Municipal Electric,Spencer  ,4717059,5131472,1444699,1568258,62227.59,65436.4,82630.01,20629.78,5180,900,1,146
2015,Municipal Electric,Stanhope   ,187670,137158,0,25245,1399.54,766.63,0,219.8,199,60,0,13
2015,Municipal Electric,Stanton,358197,165516,0,98283,3762.65,1918.99,0,1182.24,287,46,0,15
2015,Municipal Electric,State Center ,1114652,925006,0,0,7391.47,7327.21,0,0,770,192,0,0
2015,Municipal Electric,Story City   ,1872752,3112863,0,105758,15830.92,34469.84,0,1206.25,1666,232,0,9
2015,Municipal Electric,Stratford,331926,221598,0,49760,2370.86,2093.89,0,421.07,315,71,0,26
2015,Municipal Electric,Strawberry Point,585470,465987,0,47621,4178.1,3842.65,0,318.45,587,105,0,35
2015,Municipal Electric,Stuart  ,784439,840208,0,16805,6200.43,7183.93,0,126.71,723,161,0,6
2015,Municipal Electric,Sumner   ,998713,756700,0,137738,8848.25,6505.55,0,938.56,950,211,0,33
2015,Municipal Electric,Traer  ,1250490,600416,0,0,9262.66,4845.66,0,25.31,965,144,0,1
2015,Municipal Electric,Villisca,674573,308649,0,174558,6228.25,2794.77,0,2075.84,649,101,0,43
2015,Municipal Electric,Vinton   ,2182867,1961273,21837,146481,17530.14,18385.34,710,2232.96,2177,350,1,36
2015,Municipal Electric,Wall Lake,437510,417267,0,0,4768.03,4294.53,0,0,415,118,0,0
2015,Municipal Electric,Waverly   ,4673310,7994283,3595282,941127,38228.91,96180,66517.1,8249.38,4085,587,1,87
2015,Municipal Electric,Webster City ,3826843,5003053,730158,506280,31104.07,52392.46,7972.6,5054.9,3854,509,3,48
2015,Municipal Electric,West Liberty ,1304149,3241986,0,296309,11781.15,36493.69,0,3147.5,1311,187,0,64
2015,Municipal Electric,West Point,781268,723812,0,59132,5994.67,6299.12,0,440.63,600,75,0,20
2015,Municipal Electric,Westfield,67834,13572,0,100,665.11,170.74,0,0,59,12,0,1
2015,Municipal Electric,Wilton  ,1348923,1199928,0,104583,11915.71,11615.09,0,988.82,1303,185,0,28
2015,Municipal Electric,Winterset  ,2487728,2492288,0,0,19478.48,26539.33,0,44.87,2180,411,0,0
2015,Municipal Electric,Woolstock,88538,112978,0,0,904.51,656.41,0,0,94,32,0,0
2015,Municipal Electric,Lawler,199453,99110,0,8153,1718.25,937.64,0,66.25,219,40,0,11
2015,Municipal Electric,Alton,476817,411287,0,3973,5616.9,4795.19,0,191.35,458,110,0,0
2015,Municipal Electric,Aurelia,406899,258337,0,68298,4568.37,2221.63,0,775.22,443,76,0,29
2015,Distribution Cooperative,Southwest Iowa Rural Electric Cooperative,9179406,2678703,206343,16073,68719.91,29277.1,2536.65,74.11,5603,284,1,20
2015,Distribution Cooperative,"Allamakee Clayton Elec. Coop., Inc.",15821068,1657854,530251,15197,110655.1,13572.06,8922.43,84.27,9443,506,1,4
2015,Distribution Cooperative,Atchison Holt Electric Coop.,1250299,692159,0,54803,9890.38,5475.26,0,433.51,1077,75,0,16
2015,Distribution Cooperative,East-Central Iowa Rural Electric Coop.,15082505,6630747,0,456857,125794.71,72601.54,0,4322.21,7780,746,0,160
2015,Distribution Cooperative,Boone Valley Electric Coop.,244367,208480,332020,0,2666.2,2350.14,4312.19,0,112,2,1,0
2015,Distribution Cooperative,Butler County Rural Elec. Coop.,11681091,8878263,4275799,89980,89558.49,107517.64,53052.03,626.39,4826,196,5,41
2015,Distribution Cooperative,Calhoun County Electric Coop. Assn.,3579856,474613,559994,0,26302.32,4502.28,7231.44,0,1657,21,2,0
2015,Distribution Cooperative,Cass Electric Cooperative,148177,0,0,360,1168.97,0,0,0,88,0,0,1
2015,Distribution Cooperative,Heartland Power Cooperative,9732600,16655851,0,265679,81905.34,221650.59,0,2858.99,4345,804,0,65
2015,Generation and Tranmission Cooperative,Central Iowa Power Cooperative (CIPCO),0,0,178182985,0,0,0,2730041.78,0,0,0,3,0
2015,Distribution Cooperative,"Chariton Valley Electric Cooperative, Inc.",6871052,3947566,0,46548,55377.56,36671.25,0,504.68,4841,1172,0,0
2015,Distribution Cooperative,"Clarke Electric Cooperative, Inc.",8339060,3312338,119987,138295,60707.07,33495.71,1518.84,1046.43,4983,245,1,48
2015,Generation and Tranmission Cooperative,Corn Belt Power Cooperative,0,0,128390035,0,0,0,1889713.81,0,0,0,11,0
2015,Distribution Cooperative,Eastern Iowa Light & Power Cooperative,37178403,22065535,1725943,387260,294350.44,298169.15,25885.15,3945.09,21688,1791,1,81
2015,Distribution Cooperative,Farmers Electric Cooperative - Kalona,1493075,622839,0,0,11549.44,5270.7,0,0,624,15,0,0
2015,Distribution Cooperative,"Farmers Electric Coop., Inc. - Greenfield",8472762,2581751,0,6392,61406.81,31409.66,0,13.85,4645,102,0,4
2015,Distribution Cooperative,Franklin Rural Electric Cooperative,3603326,3254029,0,74509,28870.78,32819.02,0,624.6,1496,371,0,48
2015,Distribution Cooperative,Grundy County Rural Electric Cooperative,3701708,2495536,502182,61810,27365.27,29382.88,6373.8,442.07,1870,330,1,63
2015,Distribution Cooperative,"Grundy Electric Cooperative, Inc.",317086,48137,0,9792,2668.8,428.68,0,81.36,227,11,0,2
2015,Distribution Cooperative,Guthrie Co. Rural Electric Cooperative Assn.,7507453,6010209,817522,224617,63509.18,92085.01,13208.49,2508.48,4492,91,1,22
2015,Distribution Cooperative,Prairie Energy Cooperative,7078494,15700653,256280,12763,58777.38,197429.4,2898.35,115.81,3614,568,1,76
2015,Distribution Cooperative,Harrison County Rural Electric Cooperative,6775082,3083779,429249,391637,47146.1,46270.47,5573.93,3013.21,3336,325,1,57
2015,Distribution Cooperative,Hawkeye REC,11202341,12748913,237276,31532,76779.94,142387.63,3231.6,188.2,5817,890,1,37
2015,Generation and Tranmission Cooperative,L & O Power Cooperative,0,0,9394846,0,0,0,173842.03,0,0,0,4,0
2015,Distribution Cooperative,Linn County Rural Electric Coop. Assn.,32799022,16987438,0,0,266365,175859.57,0,0,24098,3448,0,0
2015,Distribution Cooperative,Lyon Rural Electric Cooperative,5666637,2791040,541492,129642,61686.22,35823.51,8010.36,1960.92,2088,73,1,2
2015,Distribution Cooperative,Maquoketa Valley Electric Cooperative,15359674,15444657,0,66275,127420.36,146820.6,0,351.16,10069,5618,0,103
2015,Distribution Cooperative,Consumers Energy Cooperative,10843402,4034516,0,60036,71899.51,37655.13,0,354.45,5642,464,0,100
2015,Distribution Cooperative,Nishnabotna Valley Rural Electric Coop.,7562382,8418758,0,151109,60159.19,111735.87,0,1077.16,3495,158,0,52
2015,Distribution Cooperative,"United Electric Cooperative, Inc.",1020745,9631,0,0,6601.41,672.64,0,0,562,4,0,0
2015,Generation and Tranmission Cooperative,Northwest Iowa Power Cooperative,0,0,83070706,0,0,0,1527640.73,0,0,0,0,0
2015,Distribution Cooperative,"Osceola Electric Cooperative, Inc.",2842120,2437724,0,26896,29883.04,30189.31,0,212.05,1067,75,0,22
2015,Distribution Cooperative,Pella Cooperative Electric Association,4965164,1484801,0,255220,36598.77,13747.34,0,1794.72,2632,231,0,49
2016,Municipal Electric,Hartley,904681,818497,0,23412,10416,9120,0,310,793,125,0,9
2015,Distribution Cooperative,Pleasant Hill Community Line,132858,258169,0,30110,1335.23,2937.8,0,251.96,90,23,0,3
2015,Distribution Cooperative,Access Energy Cooperative,13521442,12307968,0,4381,115299.79,126356.03,0,19.12,8568,216,0,7
2015,Distribution Cooperative,North West Rural Electric Cooperative,20094252,27071565,63168,47455,239817.43,406517.76,774.6,340.77,8944,754,1,72
2015,Distribution Cooperative,Western Iowa Power Cooperative,8901982,4689994,0,99113,64373.85,41571.03,0,685.96,4025,1475,0,44
2015,Distribution Cooperative,"Southern Iowa Electric Cooperative, Inc.",8541887,1818667,2828461,0,56400.6,18589.23,42766.49,0,4519,216,3,0
2015,Distribution Cooperative,T. I. P. Rural Electric Cooperative,9338536,6716730,0,17391,74512.21,78590.93,0,84.27,5928,359,0,36
2015,Distribution Cooperative,Woodbury County Rural Electric Cooperative,7138444,1826236,0,6514,52016.3,18572.76,0,36.54,3163,105,0,8
2015,Distribution Cooperative,Federated Rural Electric Association,97849,11902,0,0,1023.26,85.79,0,0,57,4,0,0
2015,Distribution Cooperative,Freeborn-Mower Cooperative Service,12020,0,0,0,91.42,0,0,0,6,0,0,0
2015,Distribution Cooperative,Tri-County Electric Cooperative,229252,19360,0,0,1536.53,124.2,0,0,122,3,0,0
2015,Distribution Cooperative,Iowa Lakes Electric Cooperative,21031382,33103045,4297480,378350,164850.75,397832.75,57280.84,2723.1,9126,3182,2,174
2015,Distribution Cooperative,Nobles Cooperative Electric Association,15962,7043,0,0,142.54,67.38,0,0,10,2,0,0
2015,Distribution Cooperative,Midland Power Cooperative,22897236,19458125,1766128,231671,188693.24,249289.72,23857.48,2012.05,10739,520,9,187
2015,Distribution Cooperative,Raccoon Valley Electric Cooperative,6040585,7049238,345828,4821,44210.48,85943.44,4258.32,8.23,2234,411,1,15
2016,Investor Owned Electric,Interstate Power and Light Company,536676500,905888666,110204957,9912210,3632961,10890566,2098353,40851,402199,85177,6,889
2016,Investor Owned Electric,MidAmerican Energy Company,583941487,846325082,186009215,101036310,5708931,14655652,8103963,1401127,574953,82633,6,12815
2016,Investor Owned Electric,Amana Society Service Company,916642,7110587,0,73589,7274,88267,0,828,713,302,0,24
2016,Municipal Electric,Bloomfield,1677205,1438333,0,55222,11877,13925,0,2077,1144,236,0,29
2016,Municipal Electric,Cascade,889171,803371,0,206547,8242,8443,0,2158,917,159,0,35
2016,Municipal Electric,Cedar Falls,15489458,18184860,8560083,3597057,166564,262378,344676,62353,16786,2176,0,164
2016,Municipal Electric,Coon Rapids,721811,424552,962403,293217,6759,3405,15398,3016,601,146,1,47
2016,Municipal Electric,Corning,819855,512638,0,614013,8039,4866,0,6361,758,216,0,60
2016,Municipal Electric,Graettinger,474057,408209,320062,20011,4948,4384,0,205,424,87,0,12
2016,Municipal Electric,Harlan,2922332,2620751,242245,378180,24122,33128,9251,3152,2331,453,,76
2016,Municipal Electric,Hawarden,1047676,930619,0,248592,11590,10330,0,3860,1028,191,0,76
2016,Municipal Electric,Lamoni,921387,1258962,0,187912,8172,12373,0,1932,940,138,0,38
2016,Municipal Electric,Manilla,389797,130884,0,69552,4622,1707,0,695,395,65,0,23
2016,Municipal Electric,Manning,715538,1911759,0,174617,7292,29062,0,2002,692,159,0,32
2016,Municipal Electric,Osage  ,1796376,3766141,0,102028,14973,37327,0,858,1830,319,0,187
2016,Municipal Electric,Remsen  ,706547,739151,0,970,8729,7552,0,7,692,177,0,2
2016,Municipal Electric,Sanborn  ,711315,1345587,0,74949,6898,16121,0,678,573,137,0,25
2016,Municipal Electric,Sioux Center,2407046,6636985,0,619129,26644,89101,0,6905,2248,433,0,51
2016,Municipal Electric,Tipton  ,1369485,1592164,0,131798,11624,16680,0,1162,1420,350,0,21
2016,Municipal Electric,West Bend,673042,931654,0,53697,6354,10255,0,544,457,135,0,18
2016,Municipal Electric,Whittemore,336766,296149,0,34058,2492,2252,0,310,250,58,0,13
2016,Municipal Electric,Woodbine  ,843353,424676,0,291979,7981,4440,0,3197,733,140,0,38
2016,Municipal Electric,Lenox,789086,647472,0,308785,7251,6449,0,3258,608,127,0,16
2016,Municipal Electric,Montezuma,639229,1654354,0,86829,6896,20475,0,876,758,162,0,32
2016,Municipal Electric,Preston  ,585999,436897,0,97738,3908,3281,0,716,439,105,0,42
2016,Municipal Electric,Sabula  ,338021,114265,0,55287,2314,737,0,337,345,71,0,15
2016,Municipal Electric,Brooklyn,743898,487928,0,55672,6939,4668,0,708,686,117,0,2
2016,Municipal Electric,Lake Park,606462,719075,0,74832,4950,6709,0,682,609,102,0,25
2016,Municipal Electric,Rock Rapids  ,1158628,1088328,0,123931,12763,13251,0,1708,1114,209,0,45
2016,Municipal Electric,Fairbank,500466,205129,0,118161,4533,2044,0,1134,483,65,0,12
2016,Municipal Electric,Afton,489767,329674,0,19117,3703,2687,0,156,412,79,0,18
2016,Municipal Electric,Akron,730918,739085,0,83622,8153,7219,0,752,694,140,0,27
2016,Municipal Electric,Algona,4096603,6827819,3880659,274420,28886,81128,111344,4800,3035,689,,0
2016,Municipal Electric,Alta,975237,577130,0,229288,9851,5541,0,2689,836,113,0,45
2016,Municipal Electric,Alta Vista,151977,49063,0,3977,1304,461,0,49,134,29,0,9
2016,Municipal Electric,Ames,17768423,30469886,0,4731276,166099,387962,0,104565,23122,2831,0,125
2016,Municipal Electric,Anita,425359,350298,0,0,4718,4085,0,235,501,117,0,13
2016,Municipal Electric,Anthon,418463,175323,0,19908,4105,1684,0,271,299,50,0,12
2016,Municipal Electric,Aplington,465746,183082,0,36160,4450,1951,0,455,459,60,0,3
2016,Municipal Electric,Atlantic,3431950,4459562,875069,458403,40182,62606,33739,5271,3822,743,1,85
2016,Municipal Electric,Auburn,215313,0,0,14443,2035,0,0,132,180,0,0,0
2016,Municipal Electric,Bancroft,349735,888151,286374,76529,3216,9205,3527,627,387,237,1,25
2016,Municipal Electric,Bellevue,1281962,962774,0,295149,9161,9264,0,2970,1342,171,0,254
2016,Municipal Electric,Breda,310902,199769,0,13560,2438,2141,0,141,225,70,0,6
2016,Municipal Electric,Buffalo,400886,123788,0,44940,3719,1218,0,1095,567,38,0,2
2016,Municipal Electric,Burt,259967,74246,0,79111,2051,531,0,727,223,42,0,17
2016,Municipal Electric,Callender,185257,37439,0,18490,0,0,0,0,0,0,0,0
2016,Municipal Electric,Carlisle,1661042,645014,0,300219,12900,4977,0,274,3923,575,0,164
2016,Municipal Electric,Coggon,390408,102350,0,32999,2434,643,0,208,329,37,0,4
2016,Municipal Electric,Corwith,176925,184060,0,18171,1129,1193,0,112,140,41,0,0
2016,Municipal Electric,Danville,428391,79873,0,113853,3926,759,0,1021,384,39,0,6
2016,Municipal Electric,Dayton,393170,229594,0,51368,2966,1924,0,519,389,75,0,9
2016,Municipal Electric,Denison,2630315,7160915,0,622671,33460,112835,0,13927,2675,583,0,6
2016,Municipal Electric,Denver,762775,467507,0,0,0,0,0,0,800,112,0,0
2016,Municipal Electric,Dike,423769,201738,0,132407,3360,1699,0,1137,378,44,0,14
2016,Municipal Electric,Durant,1138450,643949,0,64875,6893,7223,0,495,777,134,0,48
2016,Municipal Electric,Dysart,768581,308670,0,95499,5581,2393,0,770,0,0,0,0
2016,Municipal Electric,Earlville,282729,139637,0,28758,2870,1376,0,310,362,54,0,9
2016,Municipal Electric,Eldridge,1663472,1210440,1058056,98849,21066,16878,40241,947,2246,233,,37
2016,Municipal Electric,Ellsworth,238814,309800,0,47082,2102,2843,0,488,220,56,0,12
2016,Municipal Electric,Estherville,2555525,3259783,0,405799,20150,32040,0,3904,2648,482,0,40
2016,Municipal Electric,Farnhamville,237453,304604,0,6762,2014,3010,0,88,224,33,0,8
2016,Municipal Electric,Fonda,293445,205264,0,23181,2756,2029,0,326,308,42,0,21
2016,Municipal Electric,Fontanelle,409994,232567,0,38135,3648,1912,0,348,394,33,0,16
2016,Municipal Electric,Forest City,1307866,4218848,0,155662,13339,47507,0,1530,1733,449,0,1
2016,Municipal Electric,Fredericksburg,472011,1212169,0,77819,5109,12158,0,1070,470,57,0,14
2016,Municipal Electric,Glidden,590722,246974,0,57996,5415,2459,0,681,572,88,0,21
